iter	Passed	Remaining
0	141	141268
1	143	71416
2	147	48925
3	148	37086
4	152	30377
5	154	25551
6	155	22088
7	157	19491
8	158	17469
9	160	15857
10	161	14536
11	163	13434
12	165	12529
13	166	11745
14	168	11050
15	169	10437
16	171	9898
17	172	9420
18	174	8990
19	175	8604
20	177	8265
21	180	8005
22	181	7715
23	183	7448
24	184	7200
25	186	6969
26	187	6756
27	188	6559
28	190	6380
29	192	6211
30	194	6090
31	196	5940
32	197	5798
33	199	5666
34	200	5539
35	202	5420
36	204	5311
37	205	5205
38	207	5103
39	209	5036
40	211	4953
41	213	4869
42	215	4792
43	217	4722
44	218	4645
45	220	4570
46	221	4498
47	224	4447
48	226	4390
49	227	4330
50	229	4272
51	231	4216
52	234	4185
53	235	4133
54	240	4139
55	242	4089
56	244	4041
57	246	3995
58	247	3948
59	249	3901
60	250	3855
61	253	3838
62	255	3802
63	257	3761
64	258	3720
65	260	3679
66	261	3641
67	262	3603
68	264	3567
69	265	3531
70	269	3521
71	270	3487
72	272	3454
73	273	3421
74	274	3389
75	276	3358
76	277	3328
77	279	3299
78	280	3271
79	283	3262
80	285	3235
81	286	3208
82	287	3175
83	288	3149
84	290	3124
85	291	3100
86	293	3076
87	294	3053
88	297	3045
89	299	3024
90	300	3006
91	302	2985
92	304	2968
93	305	2947
94	307	2927
95	308	2908
96	310	2888
97	313	2881
98	314	2861
99	315	2843
100	317	2826
101	319	2809
102	320	2791
103	321	2774
104	323	2756
105	324	2739
106	327	2734
107	329	2718
108	330	2702
109	332	2689
110	333	2673
111	335	2658
112	336	2643
113	338	2628
114	339	2613
115	342	2607
116	343	2591
117	344	2578
118	346	2565
119	348	2552
120	349	2539
121	350	2523
122	352	2510
123	353	2498
124	355	2485
125	357	2482
126	359	2468
127	360	2456
128	362	2445
129	363	2433
130	364	2421
131	366	2409
132	367	2397
133	369	2386
134	371	2377
135	373	2370
136	374	2362
137	376	2352
138	378	2343
139	379	2333
140	381	2323
141	382	2310
142	383	2300
143	385	2290
144	389	2294
145	390	2286
146	392	2278
147	394	2273
148	397	2269
149	399	2263
150	402	2264
151	404	2256
152	406	2248
153	407	2241
154	409	2233
155	411	2226
156	413	2218
157	414	2211
158	418	2213
159	420	2205
160	421	2195
161	422	2187
162	424	2180
163	426	2172
164	428	2166
165	429	2159
166	432	2159
167	437	2165
168	440	2166
169	442	2162
170	444	2155
171	449	2163
172	451	2159
173	453	2154
174	455	2149
175	459	2150
176	465	2165
177	469	2167
178	471	2162
179	472	2154
180	474	2146
181	476	2140
182	478	2135
183	480	2129
184	483	2130
185	485	2124
186	486	2117
187	488	2109
188	489	2102
189	493	2102
190	494	2096
191	496	2090
192	498	2083
193	500	2078
194	501	2071
195	503	2064
196	504	2056
197	507	2057
198	509	2051
199	511	2047
200	513	2040
201	514	2033
202	516	2026
203	517	2019
204	518	2012
205	522	2013
206	523	2007
207	525	2001
208	527	1997
209	529	1990
210	530	1984
211	532	1977
212	533	1971
213	536	1972
214	538	1966
215	540	1961
216	541	1955
217	543	1950
218	545	1945
219	546	1938
220	548	1932
221	550	1927
222	552	1924
223	554	1919
224	555	1913
225	557	1907
226	558	1901
227	559	1895
228	561	1889
229	562	1884
230	564	1879
231	566	1876
232	568	1871
233	569	1865
234	571	1860
235	572	1854
236	574	1848
237	575	1843
238	577	1837
239	578	1831
240	582	1834
241	584	1830
242	585	1825
243	587	1819
244	588	1814
245	590	1808
246	591	1803
247	592	1797
248	595	1795
249	597	1791
250	599	1787
251	600	1782
252	603	1780
253	604	1776
254	606	1771
255	607	1766
256	610	1763
257	611	1759
258	613	1754
259	614	1749
260	616	1745
261	617	1740
262	619	1735
263	620	1730
264	622	1725
265	624	1723
266	626	1719
267	627	1714
268	629	1709
269	630	1705
270	632	1700
271	633	1695
272	635	1691
273	636	1686
274	637	1681
275	640	1680
276	642	1676
